"ENSEMBL_clean","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENSEMBL","SYMBOL","GENENAME","ENTREZID"
"ENSG00000149922",112.728621766486,1.26539997552291,0.232137447056633,5.45108077807971,5.00646217747698e-08,2.9789347171432e-06,"ENSG00000149922.6","TBX6","T-box transcription factor 6","6911"
"ENSG00000150086",44.5054049041519,-1.01077488518053,0.261867066574835,-3.85987783191391,0.000113443726392935,0.000793386496197171,"ENSG00000150086.3",NA,NA,NA
"ENSG00000150782",120.50113948423,1.20656006700496,0.244549661569135,4.93380387142291,8.06434200249969e-07,2.11829337948572e-05,"ENSG00000150782.7","IL18","interleukin 18","3606"
"ENSG00000151650",40.5981724518174,1.24548691347278,0.296781817335695,4.19664157546414,2.70902143875912e-05,0.000265637713554874,"ENSG00000151650.7","VENTX","VENT homeobox","27287"
"ENSG00000151929",2272.30892655776,1.90293205648878,0.278629682851461,6.82960995761262,8.51458128335015e-12,6.59133364470018e-09,"ENSG00000151929.5","BAG3","BAG cochaperone 3","9531"
"ENSG00000152034",176.333172407686,-1.18292727275632,0.322501605585354,-3.66797328220819,0.000244480723739574,0.00142158476175155,"ENSG00000152034.5","MCHR2","melanin concentrating hormone receptor 2","84539"
"ENSG00000152049",279.180301093144,2.06603586196366,0.284448298882371,7.26330890387232,3.77733951197796e-13,5.70069211257693e-10,"ENSG00000152049.5","KCNE4","potassium voltage-gated channel subfamily E regulatory subunit 4","23704"
"ENSG00000152463",21.0826470815039,1.02729544357875,0.284536561598917,3.6104163127789,0.000305705928904356,0.00167658543962379,"ENSG00000152463.10","OLAH","oleoyl-ACP hydrolase","55301"
"ENSG00000152495",2275.36773458083,-1.1615795512248,0.226993373020675,-5.11723992540966,3.10039133511498e-07,1.05039992967845e-05,"ENSG00000152495.6","CAMK4","calcium/calmodulin dependent protein kinase IV","814"
"ENSG00000152672",6.85976817370813,-1.23925827332132,0.372295227407012,-3.32869771646711,0.000872530488013419,0.00378491733250869,"ENSG00000152672.3","CLEC4F","C-type lectin domain family 4 member F","165530"
"ENSG00000152766",13.6924733448505,1.40781012602505,0.448162421256614,3.14129444873503,0.00168202832504328,0.00631036208452959,"ENSG00000152766.5","ANKRD22","ankyrin repeat domain 22","118932"
"ENSG00000152779",21.40940276312,2.01202509006077,0.443813129938854,4.53349609178524,5.8015340145479e-06,8.63778171977666e-05,"ENSG00000152779.12","SLC16A12","solute carrier family 16 member 12","387700"
"ENSG00000153820",654.413488607723,-1.09064934229639,0.237449687159727,-4.59318079270718,4.36540551506089e-06,6.98843750776526e-05,"ENSG00000153820.8","SPHKAP","SPHK1 interactor, AKAP domain containing","80309"
"ENSG00000154127",358.218159471034,-1.02124219744192,0.221947164044734,-4.60128518351369,4.19892059697556e-06,6.79398448639291e-05,"ENSG00000154127.5","UBASH3B","ubiquitin associated and SH3 domain containing B","84959"
"ENSG00000155052",63.5192362121923,-1.47198251224177,0.272814471553599,-5.39554409947265,6.83162101333605e-08,3.6233782888943e-06,"ENSG00000155052.14","CNTNAP5","contactin associated protein family member 5","129684"
"ENSG00000155659",383.095826473277,1.0803860437834,0.36474369089918,2.96204175902259,0.00305606332993439,0.010201831357378,"ENSG00000155659.9","VSIG4","V-set and immunoglobulin domain containing 4","11326"
"ENSG00000156127",10.2625930707495,1.04114172753427,0.367902774987459,2.82993714187059,0.00465571501010914,0.0142679573348388,"ENSG00000156127.6","BATF","basic leucine zipper ATF-like transcription factor","10538"
"ENSG00000157005",603.376981884322,-1.14303778128414,0.278467414910009,-4.10474518770366,4.04760776788853e-05,0.000363665607006313,"ENSG00000157005.3","SST","somatostatin","6750"
"ENSG00000157680",171.255557809542,-1.04333407732048,0.157381778016625,-6.62931941975056,3.37238113856123e-11,1.66816312262408e-08,"ENSG00000157680.10","DGKI","diacylglycerol kinase iota","9162"
"ENSG00000157833",1393.99399675363,1.06302330769776,0.176023181854623,6.03910971553569,1.54966852953436e-09,2.76624164073117e-07,"ENSG00000157833.8","GAREM2","GRB2 associated regulator of MAPK1 subtype 2","150946"
"ENSG00000158517",36.0914830159584,1.05557056584017,0.247056899022017,4.27258081040714,1.93223493476491e-05,0.000207618331081115,"ENSG00000158517.9","NCF1","neutrophil cytosolic factor 1","653361"
"ENSG00000158825",55.2280470946744,1.04423182929163,0.24505210026152,4.26126455630141,2.03273430244992e-05,0.000215625700670742,"ENSG00000158825.5","CDA","cytidine deaminase","978"
"ENSG00000159167",137.327818944757,1.69139909121183,0.474681350331123,3.56323055462778,0.000366318677819245,0.00193180686795929,"ENSG00000159167.7","STC1","stanniocalcin 1","6781"
"ENSG00000159189",1167.99348486063,1.11145448243969,0.32570356356396,3.41247258788875,0.000643764012087519,0.00297691542191223,"ENSG00000159189.7","C1QC","complement C1q C chain","714"
"ENSG00000159289",9.93502762767283,-1.05279306283907,0.333390301051615,-3.15783950378353,0.00158943038835708,0.00602560718819726,"ENSG00000159289.6","GOLGA6A","golgin A6 family member A","342096"
"ENSG00000160111",322.285996129878,1.0681696190366,0.238315488316244,4.48216616797958,7.3889172990934e-06,0.000102561384684155,"ENSG00000160111.8","CPAMD8","C3 and PZP like alpha-2-macroglobulin domain containing 8","27151"
"ENSG00000160255",551.564789412839,1.04581031682703,0.252767169481667,4.13744521874261,3.51194259701098e-05,0.000327906406372212,"ENSG00000160255.12","ITGB2","integrin subunit beta 2","3689"
"ENSG00000160447",200.025502529237,1.02034433094456,0.194771422962425,5.23867575348259,1.61732907433284e-07,6.48533332439602e-06,"ENSG00000160447.6","PKN3","protein kinase N3","29941"
"ENSG00000160471",9.1052157543185,1.09367274349356,0.31835888468383,3.43534544223482,0.000591798929975363,0.00279396647395059,"ENSG00000160471.7","COX6B2","cytochrome c oxidase subunit 6B2","125965"
"ENSG00000160862",508.489366179496,1.17980473836067,0.309168853107307,3.81605302896144,0.000135603373496733,0.000904803699123496,"ENSG00000160862.8","AZGP1","alpha-2-glycoprotein 1, zinc-binding","563"
"ENSG00000161638",430.890264203286,1.09349129402977,0.313578517712031,3.48713713556729,0.000488220944757356,0.00240004616639528,"ENSG00000161638.6","ITGA5","integrin subunit alpha 5","3678"
"ENSG00000162366",4.23257275436167,1.35071475392456,0.386414570554435,3.49550678688573,0.00047316241951614,0.00234266905051817,"ENSG00000162366.3","PDZK1IP1","PDZK1 interacting protein 1","10158"
"ENSG00000162367",225.472178664541,1.0986465147941,0.176319833535049,6.23098657007131,4.63506846208012e-10,1.16586017483321e-07,"ENSG00000162367.7","TAL1","TAL bHLH transcription factor 1, erythroid differentiation factor","6886"
"ENSG00000162383",137.308390162448,1.73477518892881,0.367217676608631,4.72410588986346,2.31129970305738e-06,4.47104323435108e-05,"ENSG00000162383.7","SLC1A7","solute carrier family 1 member 7","6512"
"ENSG00000162747",13.7186354496986,1.5121638376437,0.426219489125242,3.5478524005254,0.000388385803502308,0.0020224569397559,"ENSG00000162747.5","FCGR3B","Fc gamma receptor IIIb","2215"
"ENSG00000162913",79.6691285202635,-1.01178751486901,0.235724414864421,-4.29224743415294,1.76873687271403e-05,0.000193176321210036,"ENSG00000162913.9","OBSCN-AS1","OBSCN antisense RNA 1","574407"
"ENSG00000163009",4.09673745417216,-1.25874955978882,0.445551335499428,-2.82515045853887,0.00472584190532864,0.0144402174618739,"ENSG00000163009.4",NA,NA,NA
"ENSG00000163012",6.19227831895789,-1.32055503782135,0.270924222418716,-4.87425976914096,1.09217198887003e-06,2.62889129676337e-05,"ENSG00000163012.3","ZSWIM2","zinc finger SWIM-type containing 2","151112"
"ENSG00000163132",336.324752012586,1.030960342783,0.188763910436948,5.46163904104626,4.71758544376142e-08,2.90061614636605e-06,"ENSG00000163132.6","MSX1","msh homeobox 1","4487"
"ENSG00000163141",39.2900623224469,1.2130613112765,0.200171767234641,6.0601019216389,1.36035321460644e-09,2.56627542223654e-07,"ENSG00000163141.13","BNIPL","BCL2 interacting protein like","149428"
"ENSG00000163220",232.762063320466,1.06848134678129,0.457665472665465,2.33463394246982,0.0195625518133698,0.0452687374761294,"ENSG00000163220.10","S100A9","S100 calcium binding protein A9","6280"
"ENSG00000163221",18.2778484020559,2.55216991634316,0.559002208491043,4.56558109713452,4.98112580187679e-06,7.77644920575329e-05,"ENSG00000163221.7","S100A12","S100 calcium binding protein A12","6283"
"ENSG00000163464",4.94027154911363,1.54808445495373,0.485633430884333,3.1877633550365,0.00143377825986558,0.00555995162159041,"ENSG00000163464.7","CXCR1","C-X-C motif chemokine receptor 1","3577"
"ENSG00000163467",9.60755529102245,1.02945818000794,0.289081013168088,3.56114076371165,0.000369247050117423,0.00194422732716988,"ENSG00000163467.6","TSACC","TSSK6 activating cochaperone","128229"
"ENSG00000163501",5.48463132858713,1.3402659788164,0.30049750790738,4.46015671860247,8.18997424550481e-06,0.000110040900363763,"ENSG00000163501.5","IHH","Indian hedgehog signaling molecule","3549"
"ENSG00000163638",402.946906408531,1.0188025806432,0.309497245103192,3.29179854348465,0.00099548894303976,0.00417748026880765,"ENSG00000163638.9","ADAMTS9","ADAM metallopeptidase with thrombospondin type 1 motif 9","56999"
"ENSG00000163694",46.2203472231659,1.06945537038791,0.268595186465916,3.981662458138,6.8434920830659e-05,0.000542476042246564,"ENSG00000163694.10","RBM47","RNA binding motif protein 47","54502"
"ENSG00000163736",2.99416077200658,2.11720287371699,0.518120180412604,4.08631617481288,4.38276431925223e-05,0.000386395488390368,"ENSG00000163736.3","PPBP","pro-platelet basic protein","5473"
"ENSG00000163739",73.4936600109313,1.11321083529865,0.419842388779532,2.65149700232679,0.00801358243569715,0.0219781070568327,"ENSG00000163739.4","CXCL1","C-X-C motif chemokine ligand 1","2919"
"ENSG00000163874",48.4656816324406,1.30123042690702,0.24174345090778,5.38269153526483,7.33802275550664e-08,3.80233393906618e-06,"ENSG00000163874.8","ZC3H12A","zinc finger CCCH-type containing 12A","80149"
"ENSG00000163884",1140.1383167036,1.02294280966796,0.190690649696426,5.36440990314131,8.12142847054014e-08,4.03664173770769e-06,"ENSG00000163884.3","KLF15","KLF transcription factor 15","28999"
"ENSG00000163993",10.7527896407568,1.45079507135736,0.340346365136281,4.26270182370373,2.01969942159034e-05,0.000214517147138972,"ENSG00000163993.6","S100P","S100 calcium binding protein P","6286"
"ENSG00000164236",31.1686442300936,-1.00215045197735,0.309030286560828,-3.24288749536558,0.00118324924593256,0.0047781855343533,"ENSG00000164236.7","ANKRD33B","ankyrin repeat domain 33B","651746"
